Name,Symbol,Price,1h price,24h price,7d price,30d price,Total volume 24h,Circulating supply,Total supply,Market cap
Note,NOTE,"US$1,01",-0.0%,0.0%,-0.1%,-0.1%,US$890.589,"
      0
    ","
      -
    ",-
Hypercent,HYPE,"US$0,03489078",-,-,-,-,-,"
      0
    ","
      10 Juta
    ",-
Orbit Bridge Klaytn Binance Coin,OBNB,"US$211,67",-0.0%,0.5%,-2.4%,-2.8%,US$3.731,"
      0
    ","
      -
    ",-
DSC Mix,MIX,"US$0,00298582",-0.0%,-1.5%,-18.5%,-32.9%,"US$28,41","
      0
    ","
      8,71 Juta
    ",-
Orbit Bridge Klaytn MATIC,OMATIC,"US$0,522572",-0.0%,0.2%,-2.3%,-5.7%,US$7.984,"
      0
    ","
      165 Ribu
    ",-
Bitcoin Pay,BTCPAY,"US$0,00080415",-1.6%,-35.0%,-61.8%,-81.6%,"US$4,03","
      0
    ","
      21 Juta
    ",-
Bovineverse BVT,BVT,"US$0,00160067",-1.2%,3.8%,3.2%,2.6%,US$17.636,"
      0
    ","
      -
    ",-
AlgoStable,STBL,"US$1,00",0.1%,1.1%,-0.1%,0.8%,US$121,"
      0
    ","
      1 Triliun
    ",-
Poo Doge,POO DOGE,"US$0,000000030068",-0.0%,-0.0%,-0.1%,0.6%,US$203,"
      0
    ","
      1 Triliun
    ",-
Interest Protocol Token,IPT,"US$0,056219",-,-,-,-,-,"
      0
    ","
      100 Juta
    ",-
Doge Inu,DINU,"US$0,000000000043514",-,0.3%,-7.7%,-2.1%,"US$59,41","
      0
    ","
      1 Quadriliun
    ",-
Shorter Finance,IPISTR,"US$0,139801",0.0%,-1.8%,1.7%,10.0%,US$1.049,"
      0
    ","
      -
    ",-
Miners of Kadenia,MOK,"US$0,00199989",-,-,-,-,-,"
      0
    ","
      500 Juta
    ",-
hiSAND33,HISAND33,"US$0,00420630",-2.1%,4.7%,-11.4%,-30.6%,US$110.160,"
      0
    ","
      8 Juta
    ",-
Orbit Bridge Klaytn Ripple,OXRP,"US$0,505178",0.4%,-0.0%,-1.8%,-4.1%,US$55.810,"
      0
    ","
      65,6 Juta
    ",-
Klaytn Dai,KDAI,"US$1,00",-0.1%,0.0%,0.0%,-0.3%,US$10.116,"
      0
    ","
      -
    ",-
Developer DAO,CODE,"US$0,106161",-,-,-,-,-,"
      0
    ","
      10 Juta
    ",-
Mad Meerkat Optimizer (Polygon),MMO,"US$0,068177",0.2%,0.2%,-3.2%,-13.0%,US$26.532,"
      0
    ","
      645 Ribu
    ",-
Okidoki Social,DOKI,"US$0,00052079",-,-,-,-,-,"
      0
    ","
      100 Juta
    ",-
Blockswap Network,BSN,"US$0,00454720",-,-,-,-,-,"
      0
    ","
      5 Miliar
    ",-
TosiDrop,CTOSI,"US$0,00037360",-,-,-,-,-,"
      0
    ","
      1 Miliar
    ",-
Bitci Racing Token,BRACE,"US$0,00001112",-0.7%,-9.8%,-24.1%,-8.3%,US$1.927,"
      0
    ","
      15,1 Miliar
    ",-
Ryoma,RYOMA,"US$0,00030753",0.0%,0.7%,-4.1%,5.6%,US$55.324,"
      0
    ","
      2 Miliar
    ",-
Catalina Whales Index,WHALES,"US$0,295172",-,-,-,-,-,"
      0
    ","
      7 Ribu
    ",-
Liquid Finance,LIQD,"US$915,17",0.1%,0.6%,40.5%,51.0%,US$795,"
      0
    ","
      -
    ",-
KeKChain,KEK,"US$0,00007002",-0.1%,5.1%,-2.5%,-32.3%,US$121,"
      0
    ","
      1 Miliar
    ",-
Make DeFi Better,MDB,"US$0,00427195",0.0%,2.5%,-4.8%,-14.8%,US$3.793,"
      0
    ","
      -
    ",-
Dexioprotocol,DEXIO,"US$0,01035151",0.0%,-0.5%,-20.0%,-66.1%,US$965,"
      0
    ","
      125 Juta
    ",-
Fanfury,FURY,"US$0,00050286",9.0%,31.9%,7.4%,102.8%,"US$53,87","
      0
    ","
      420 Juta
    ",-
AutoSingle,AUTOS,"US$0,00289398",-,-,-,-,-,"
      0
    ","
      18,5 Juta
    ",-
Leonidasbilic,LIO,"US$0,161118",-,-,-,-,-,"
      0
    ","
      1 Juta
    ",-
Telegram Inu,TINU,"US$0,000000951425",0.0%,-0.0%,125.9%,-2.1%,"US$35,95","
      0
    ","
      1 Miliar
    ",-
Spume,SPUME,"US$0,00193884",-0.8%,0.9%,0.0%,-34.2%,US$169.079,"
      0
    ","
      100 Juta
    ",-
DogeDragon,DD,"US$0,00015958",-,-,-,-,-,"
      0
    ","
      -
    ",-
LakeViewMeta,LVM,"US$0,00035178",-0.0%,-0.0%,-0.1%,-0.0%,US$146,"
      0
    ","
      1 Miliar
    ",-
Dogelon Classic,ELONC,"US$0,000000000016788",-,-,-,-,-,"
      0
    ","
      1 Quadriliun
    ",-
LOOP,LOOP,"US$0,00094146",0.1%,-1.3%,-5.8%,-0.8%,"US$49,05","
      0
    ","
      53,5 Juta
    ",-
Zeus Finance,ZEUS,"US$0,00263407",-,-,-,-,-,"
      0
    ","
      -
    ",-
Janus Network,JNS,"US$0,052588",0.0%,1.6%,0.5%,-18.2%,US$343,"
      0
    ","
      8 Juta
    ",-
Wrapped ETC,WETC,"US$15,09",0.2%,-1.0%,-4.1%,-5.2%,US$7.598,"
      0
    ","
      -
    ",-
SKYPlay,SKP,"US$0,00602457",19.3%,10.8%,32.5%,-20.9%,US$235.304,"
      0
    ","
      10 Miliar
    ",-
E.C. Vitoria Fan Token,VTRA,"US$0,01944055",-0.4%,-4.2%,-13.5%,-35.2%,US$23.452,"
      0
    ","
      20 Juta
    ",-
Good Dog,HEEL,"US$0,206762",-,-0.4%,-10.9%,-50.4%,US$124,"
      0
    ","
      1 Juta
    ",-
HyperonChain,HPN,"US$0,00046079",35.3%,19.5%,-33.6%,-67.1%,US$7.013,"
      0
    ","
      ∞
    ",-
Monsterra MAG,MAG,"US$0,00251583",0.1%,-0.5%,12.5%,6.8%,US$442,"
      0
    ","
      ∞
    ",-
RED TOKEN,RED,"US$0,00000623",1.1%,-1.9%,-4.2%,-37.8%,US$89.810,"
      0
    ","
      100 Miliar
    ",-
Krogan,KRO,"US$0,00066237",0.1%,-0.3%,-1.3%,-15.0%,"US$19,13","
      0
    ","
      500 Juta
    ",-
MILK,MILK,"US$0,00023624",0.1%,2.9%,30.3%,24.0%,"US$18,41","
      0
    ","
      47,1 Juta
    ",-
Metababy,BABY,"US$0,00115589",-0.1%,-3.2%,-9.6%,-33.4%,US$649,"
      0
    ","
      1 Miliar
    ",-
Egod The Savior,$SAVIOR,"US$0,000000000000158694",-,-,-,-,-,"
      0
    ","
      1000 Quadriliun
    ",-
Okse,OKSE,"US$0,00300967",-,-,-,-,-,"
      0
    ","
      1 Miliar
    ",-
Vestige,VEST,"US$0,00878851",-0.1%,-2.7%,-1.0%,8.5%,US$198,"
      0
    ","
      ∞
    ",-
Kay Pacha,PACHA,"US$0,00001653",-,-,-,-,-,"
      0
    ","
      963 Juta
    ",-
Arkadiko USDA,USDA,"US$112,86",-,-,-,-,-,"
      0
    ","
      -
    ",-
Mechaverse,MC,"US$0,00525900",1.8%,18.8%,-14.0%,-61.4%,US$186.459,"
      0
    ","
      -
    ",-
DegenX,DGNX,"US$0,133207",-0.2%,-0.1%,-1.6%,4.5%,US$170,"
      0
    ","
      21 Juta
    ",-
Celo Real (cREAL),CREAL,"US$0,199563",0.4%,-0.5%,-1.8%,-1.2%,"US$8,18","
      0
    ","
      -
    ",-
WATTTON,WATT,"US$0,00041068",-0.5%,-2.0%,-8.2%,-34.2%,US$196.259,"
      0
    ","
      1 Miliar
    ",-
LOGOS,LOG,"US$0,01106073",-,-,-,-,-,"
      0
    ","
      200 Juta
    ",-
Parallel Finance,PARA,"US$0,00495560",7.3%,3.9%,0.9%,-4.2%,US$835,"
      0
    ","
      -
    ",-
Yield Yak AVAX,YYAVAX,"US$9,89",0.4%,1.0%,-2.3%,-11.2%,"US$26,53","
      0
    ","
      ∞
    ",-
Metal Blockchain,METAL,"US$0,050550",-0.0%,2.6%,0.2%,-20.8%,US$22.735,"
      0
    ","
      333 Juta
    ",-
MetamonkeyAi,MMAI,"US$0,00015528",0.0%,-0.0%,-1.0%,-19.1%,US$42.863,"
      0
    ","
      10 Miliar
    ",-
Sakura Planet,SAK,"US$0,00050725",-,-,-,-,-,"
      0
    ","
      1 Miliar
    ",-
Mad Monkey Guild,MMG,"US$0,02707797",-,-,-,-,-,"
      0
    ","
      750 Ribu
    ",-
Hoichi,HOICHI,"US$0,00000168",0.0%,-14.4%,-16.4%,-54.2%,US$18.249,"
      0
    ","
      369 Miliar
    ",-
Mars Token,MRST,"US$0,00291552",0.1%,-0.1%,-0.3%,-16.3%,US$149.763,"
      0
    ","
      376 Juta
    ",-
Aree Shards,AES,"US$0,00295594",-1.7%,-4.3%,-19.7%,-22.5%,US$129.414,"
      0
    ","
      1 Miliar
    ",-
Bridged USD Coin (Wrapped),XUSD,"US$1,00",0.0%,0.0%,0.1%,-0.1%,US$3.638,"
      0
    ","
      -
    ",-
Shiba Classic,SHIBC,"US$0,000000000497801",-,-,-,-,-,"
      0
    ","
      100 Triliun
    ",-
Fidance,FDC,"US$0,000000078151",0.1%,1.3%,2.7%,7.1%,US$19.767,"
      0
    ","
      1 Triliun
    ",-
LEAP Token,LEAP,"US$0,00143078",-,-,-,-,-,"
      0
    ","
      200 Juta
    ",-
Tangent,TANG,"US$0,00049820",-0.1%,-1.1%,-36.4%,-35.4%,"US$58,89","
      0
    ","
      3,14 Miliar
    ",-
hiENS3,HIENS3,"US$0,00873495",-0.6%,-0.8%,-4.5%,-2.6%,US$101.905,"
      0
    ","
      7 Juta
    ",-
Artizen,ATNT,"US$0,00088969",-1.2%,-7.2%,-32.5%,-8.5%,US$57.937,"
      0
    ","
      -
    ",-
AIBRA,ABR,"US$0,00007014",-,-0.6%,-1.9%,-28.4%,"US$58,02","
      0
    ","
      1 Miliar
    ",-
ITSBLOC,ITSB,"US$0,00151199",-0.2%,-2.5%,-8.5%,-12.7%,US$121.615,"
      0
    ","
      1 Miliar
    ",-
Optical Bitcoin,OBTC,"US$0,02126056",0.1%,-2.7%,-15.8%,-32.2%,"US$95,32","
      0
    ","
      5,77 Juta
    ",-
Orbit Bridge Klaytn Wrapped BTC,OWBTC,"US$26.217,03",0.1%,-0.2%,-4.3%,-11.0%,"US$2,50","
      0
    ","
      281
    ",-
Coritiba F.C. Fan Token,CRTB,"US$0,01972973",-1.5%,-4.9%,-10.4%,-41.5%,US$20.228,"
      0
    ","
      20 Juta
    ",-
Takepile,TAKE,"US$0,00282136",-,-,-,-,-,"
      0
    ","
      10 Juta
    ",-
Shimmer,SMR,"US$0,053536",-0.7%,-7.8%,7.2%,8.8%,US$313.074,"
      0
    ","
      1,45 Miliar
    ",-
Teh Golden One,GOLD 1,"US$0,00003020",0.0%,0.0%,-2.0%,-18.9%,US$173,"
      0
    ","
      10 Miliar
    ",-
Point Coin,POINT,"US$0,00018031",0.0%,0.1%,-0.1%,0.0%,US$25.290,"
      0
    ","
      500 Juta
    ",-
hiODBS,HIODBS,"US$0,00157770",0.8%,-0.5%,2.6%,-6.4%,US$103.033,"
      0
    ","
      32 Juta
    ",-
Ookeenga,OKG,"US$0,00140134",-1.9%,-1.4%,-3.5%,1.5%,US$39.879,"
      0
    ","
      500 Juta
    ",-
SatoshiSwap,SWAP,"US$0,00001004",0.1%,1.1%,-10.2%,1.9%,US$679,"
      0
    ","
      780 Miliar
    ",-
EthereumFair,ETHF,"US$0,276971",-0.3%,-0.8%,276.6%,239.1%,US$1.369.973,"
      0
    ","
      -
    ",-
Bitzen,BZEN,"US$0,00007884",-,-,-,-,-,"
      0
    ","
      1 Miliar
    ",-
Ten Best Coins,TBC,"US$2.801,98",0.1%,-0.4%,-3.5%,0.1%,US$70.036,"
      0
    ","
      25 Juta
    ",-
Minebase,MBASE,"US$0,219181",0.0%,0.0%,-2.5%,-3.4%,US$59.979,"
      0
    ","
      233 Juta
    ",-
HistoryDAO,HAO,"US$0,00153206",0.3%,-1.4%,0.1%,-39.6%,US$534.564,"
      0
    ","
      1 Miliar
    ",-
JPGoldCoin,JPGC,"US$0,00598351",3.0%,-4.2%,25.9%,86.9%,US$1.009,"
      0
    ","
      750 Juta
    ",-
Supreme Finance HYPES,HYPES,"US$0,00123406",-0.5%,-0.4%,-12.2%,-21.6%,US$9.155,"
      0
    ","
      5 Miliar
    ",-
eckoDAO,KDX,"US$0,01152220",0.2%,-0.1%,5.7%,12.2%,US$9.722,"
      0
    ","
      -
    ",-
Octorand,OCTO,"US$0,054364",-21.5%,-22.9%,-21.8%,-21.5%,US$2.066,"
      0
    ","
      778 Ribu
    ",-
Little Rabbit V2,LTRBT,"US$0,000000000989653",-13.3%,-13.5%,-10.6%,-18.4%,US$40.962,"
      0
    ","
      1 Quadriliun
    ",-
Snake City,SNCT,"US$0,00075932",-,-,-,-,-,"
      0
    ","
      975 Juta
    ",-
Mugen Finance,MGN,"US$63,95",-1.2%,0.3%,-7.1%,-4.3%,US$7.355,"
      0
    ","
      ∞
    ",-
Metaplex,MPLX,"US$0,03773529",1.3%,3.7%,-44.4%,-49.9%,US$665.690,"
      0
    ","
      1 Miliar
    ",-
Affinity,AFNTY,"US$0,00000181",-5.6%,0.7%,-2.9%,-2.6%,US$1.814,"
      0
    ","
      860 Miliar
    ",-
1Move Token,1MT,"US$0,00928037",0.0%,-2.0%,-15.4%,-73.5%,US$604,"
      0
    ","
      -
    ",-
1Reward Token,1RT,"US$0,319827",0.0%,0.8%,-9.9%,-40.1%,US$259,"
      0
    ","
      -
    ",-
McLaren F1 Fan Token,MCL,"US$0,01527741",-0.5%,-4.3%,-7.4%,-41.3%,US$10.104,"
      0
    ","
      99,9 Juta
    ",-
Powswap,POW,"US$0,00000592",-,-0.1%,-9.9%,-15.3%,"US$2,97","
      0
    ","
      240 Juta
    ",-
Gençlerbirliği Fan Token,GBSK,"US$0,00245246",0.5%,4.2%,-27.4%,43.5%,US$3.010,"
      0
    ","
      100 Juta
    ",-
Daruma,DARUMA,"US$0,00001877",-,-,-,-,-,"
      0
    ","
      1 Miliar
    ",-
PoS-32,POS32,"US$0,00035473",0.0%,1.2%,-17.2%,26.0%,US$329,"
      0
    ","
      1 Miliar
    ",-
Crypto Emergency,CEM,"US$0,523206",0.0%,-0.5%,7.8%,14.1%,US$10.378,"
      0
    ","
      187 Juta
    ",-
Tax Haven Inu,TAXHAVENINU,"US$0,000000000000000000",-,-,-,-,-,"
      0
    ","
      400000000 Quadriliun
    ",-
XDAO,XDAO,"US$0,586569",-0.0%,0.0%,-1.2%,-9.8%,US$29.011,"
      0
    ","
      1 Miliar
    ",-
Matrak Fan Token,MTRK,"US$0,00118068",-0.0%,-0.7%,-6.0%,8.4%,US$25.156,"
      0
    ","
      500 Juta
    ",-
Bitcoin E-wallet,BITWALLET,"US$0,00038023",0.0%,0.4%,22.9%,11.8%,"US$0,082903","
      0
    ","
      21 Juta
    ",-
Pangolin Songbird,PSB,"US$0,00054012",-0.7%,-3.6%,-11.8%,-23.0%,"US$72,58","
      0
    ","
      -
    ",-
New World Order,STATE,"US$0,000000004307",-0.0%,1.9%,-69.5%,-67.5%,US$2.243,"
      0
    ","
      10 Quadriliun
    ",-
Pre-Retogeum,PRTG,"US$0,552303",-0.0%,-0.0%,0.0%,0.3%,US$151.134,"
      0
    ","
      10
    ",-
The Youth Pay,TYP,"US$0,00000301",-0.1%,-11.7%,-10.4%,-67.8%,US$360,"
      0
    ","
      5 Miliar
    ",-
Geegoopuzzle,GGP,"US$5,50",-0.0%,-1.7%,-2.6%,5.4%,US$896.369,"
      0
    ","
      -
    ",-
Muse ENT NFT,MSCT,"US$0,01800402",-,-,-,-,-,"
      0
    ","
      -
    ",-
Egg N Partners,EGGT,"US$0,614466",-0.3%,-0.7%,0.5%,-2.7%,US$10.235,"
      0
    ","
      -
    ",-
GP Coin,XGP,"US$0,00004528",0.0%,-3.6%,-14.0%,-6.4%,US$17.913,"
      0
    ","
      -
    ",-
ElysiumG,LCMG,"US$0,00061102",0.0%,-9.5%,-19.6%,-39.0%,US$16.915,"
      0
    ","
      -
    ",-
DaWin Token,DWT,"US$0,082938",-,-34.1%,6.3%,-36.2%,"US$2,90","
      0
    ","
      -
    ",-
Lumiii,LUMIII,"US$0,00011906",-,-,-,-,-,"
      0
    ","
      10 Miliar
    ",-
Tomato Coin,BPTC,"US$0,00585979",0.0%,-0.8%,-4.3%,-14.0%,US$152.461,"
      0
    ","
      -
    ",-
Pixie,PIX,"US$0,00017450",-1.2%,1.4%,-5.9%,-60.0%,US$55.014,"
      0
    ","
      197 Juta
    ",-
hiDOODLES,HIDOODLES,"US$0,00183364",0.1%,-0.3%,-13.5%,-32.7%,US$103.443,"
      0
    ","
      23 Juta
    ",-
The Big Five,BFT,"US$0,00039317",5.3%,49.3%,325.8%,935.7%,US$248.250,"
      0
    ","
      86,9 Miliar
    ",-
Veritise,VTS,"US$0,116270",-0.0%,1.0%,-0.1%,-5.8%,US$271.214,"
      0
    ","
      300 Juta
    ",-
DRAC Network,DRAC,"US$0,00173627",-0.4%,5.5%,42.7%,-32.8%,US$8.438,"
      0
    ","
      81,2 Juta
    ",-
Humanize,$HMT,"US$0,00668917",0.1%,-0.1%,-0.7%,-2.1%,US$109.857,"
      0
    ","
      250 Miliar
    ",-
Nippon Lagoon,NLC,"US$0,00896932",-,-,-,-,-,"
      0
    ","
      100 Juta
    ",-
Smart World Union,SWU,"US$0,00450753",-40.8%,12.5%,2.2%,-11.7%,US$56.456,"
      0
    ","
      300 Juta
    ",-
MOBIX,MOBX,"US$0,04536576",-1.0%,2.6%,-1.6%,-13.4%,US$13.500,"
      0
    ","
      100 Juta
    ",-
YokaiSwap,YOK,"US$0,00062543",-,-,-,-,-,"
      0
    ","
      1 Miliar
    ",-
Moonions,MOONION,"US$0,000000050084",-16.7%,-0.0%,-0.1%,0.0%,US$347,"
      0
    ","
      1,84 Triliun
    ",-
BlueBenx,BENX,"US$0,00004225",-,-,-,-,-,"
      0
    ","
      -
    ",-
skyup,SU,"US$0,089129",-0.3%,-1.3%,-5.8%,10.7%,US$21.701,"
      0
    ","
      1 Miliar
    ",-
Wrapped ETHW,WETHW,"US$1,32",0.1%,-0.2%,1.2%,-8.5%,US$210,"
      0
    ","
      -
    ",-
NEMO,NEMO,"US$0,099263",-,-,-,-,-,"
      0
    ","
      100 Juta
    ",-
Pi Protocol,PIP,"US$0,250318",-,-,-,-,-,"
      0
    ","
      600 Ribu
    ",-
SUMOTEX,SMTX,"US$0,00497477",-,-,-,-,-,"
      0
    ","
      1 Miliar
    ",-
GOLD8,GOLD8,"US$0,069565",0.0%,-1.6%,-0.5%,-14.3%,US$18.176,"
      0
    ","
      ∞
    ",-
UniWswap,UNIW,"US$0,00535476",0.1%,-0.5%,-2.0%,-10.5%,"US$7,23","
      0
    ","
      500 Ribu
    ",-
Moneta DAO,MON,"US$0,02040592",0.0%,0.1%,-3.1%,-4.6%,US$361,"
      0
    ","
      100 Juta
    ",-
Soulsaver,SOUL,"US$0,02898104",-4.3%,6.3%,11.9%,-22.4%,US$149.628,"
      0
    ","
      1 Miliar
    ",-
Wrapped CKB,WCKB,"US$0,00272355",0.4%,0.1%,-1.2%,1.0%,US$10.125,"
      0
    ","
      -
    ",-
Mei Flex,MF,"US$0,142238",-0.7%,-0.7%,-0.1%,-11.7%,US$18.716,"
      0
    ","
      -
    ",-
Saltmarble,SML,"US$1,49",-0.4%,-6.6%,-22.1%,-39.4%,US$27.249,"
      0
    ","
      4 Miliar
    ",-
Korea Entertainment Education & Shopping,KEES,"US$0,100376",-,-,-,-,-,"
      0
    ","
      10 Miliar
    ",-
2G Carbon Coin,2GCC,"US$0,04879944",-0.4%,-0.0%,-0.8%,0.0%,US$224.494,"
      0
    ","
      100 Miliar
    ",-
NADA Protocol Token,NADA,"US$0,02564191",-1.8%,-15.5%,82.9%,232.6%,US$677.743,"
      0
    ","
      ∞
    ",-
Bridged USD Coin (Force Bridge),USDC,"US$1,01",0.6%,0.0%,0.4%,0.7%,US$10.125,"
      0
    ","
      -
    ",-
CeBioLabs,CBSL,"US$0,04792105",0.5%,0.8%,-2.6%,-6.4%,US$37.485,"
      0
    ","
      100 Juta
    ",-
QI Blockchain,QIE,"US$0,00742633",-0.0%,-1.6%,-3.9%,-7.0%,US$48.458,"
      0
    ","
      150 Juta
    ",-
Gold Retriever,GLDN,"US$0,119242",0.0%,-0.8%,-14.7%,-32.6%,US$6.827,"
      0
    ","
      10,5 Juta
    ",-
Age of Zalmoxis KOSON,KOSON,"US$0,00939569",0.6%,-4.9%,-6.9%,2.6%,US$23.246,"
      0
    ","
      270 Juta
    ",-
ECS Gold,ECG,"US$0,00349523",0.0%,-0.0%,74.3%,190.5%,US$568,"
      0
    ","
      ∞
    ",-
Angola,AGLA,"US$0,03658581",0.0%,10.4%,-34.0%,49.8%,US$36.364,"
      0
    ","
      -
    ",-
Vibing,VBG,"US$0,342185",0.0%,-0.7%,16.8%,-34.7%,US$8.137,"
      0
    ","
      1 Miliar
    ",-
Ray Network,XRAY,"US$0,01062125",0.0%,-2.3%,-12.1%,-30.4%,US$3.522,"
      0
    ","
      325 Juta
    ",-
SC Internacional Fan Token,SACI,"US$0,482746",1.0%,0.6%,-2.2%,-7.5%,US$25.106,"
      0
    ","
      15 Juta
    ",-
Stabl.fi CASH,CASH,"US$1,00",0.1%,-0.0%,0.0%,-0.1%,US$126.181,"
      0
    ","
      167 Ribu
    ",-
HatchyPocket,HATCHY,"US$0,00212522",-,0.6%,-3.3%,-6.6%,US$120,"
      0
    ","
      400 Juta
    ",-
Shanum,SHAN,"US$0,00019395",-0.0%,-0.6%,-0.7%,-1.3%,US$528,"
      0
    ","
      -
    ",-
OxyMetaToken,OMT,"US$0,099542",-,-,-,-,-,"
      0
    ","
      100 Juta
    ",-
Metarix,MTRX,"US$0,00079543",-0.8%,4.8%,-5.3%,-20.6%,US$41.201,"
      0
    ","
      1,05 Miliar
    ",-
eCredits,ECS,"US$0,01269648",-0.0%,-29.2%,-46.4%,-48.5%,US$20.973,"
      0
    ","
      63 Miliar
    ",-
NXD Next,NXDT,"US$0,00070337",0.0%,-0.0%,-1.2%,-13.8%,US$221.835,"
      0
    ","
      5 Miliar
    ",-
Medieval Empires,MEE,"US$0,00360444",-0.3%,-0.6%,-7.5%,-8.9%,US$348.794,"
      0
    ","
      494 Juta
    ",-
bHIVE,BHIVE,"US$0,309869",-,-,-,-,-,"
      0
    ","
      100 Ribu
    ",-
RIMAUNANGIS,RXT,"US$0,357442",-4.4%,-2.4%,-28.3%,-39.5%,US$969.217,"
      0
    ","
      2 Miliar
    ",-
ROND,ROND,"US$0,00170176",-0.0%,-2.9%,-13.7%,-20.5%,US$58.544,"
      0
    ","
      1 Triliun
    ",-
hiMAYC,HIMAYC,"US$0,00778332",1.5%,-4.0%,-0.5%,-12.5%,US$102.936,"
      0
    ","
      9,98 Juta
    ",-
Pitquidity Capital,PITQC,"US$5,66",-,-,-,-,-,"
      0
    ","
      10 Ribu
    ",-
PalmSwap,PALM,"US$0,00722306",1.0%,-3.2%,-27.1%,-3.4%,US$546.362,"
      0
    ","
      38,3 Juta
    ",-
Impermax,IBEX,"US$0,02592729",0.2%,0.0%,3.4%,-14.6%,US$422,"
      0
    ","
      51,8 Juta
    ",-
Chaotic Finance,CHAOS,"US$0,00077980",0.1%,2.1%,0.3%,-11.7%,"US$14,39","
      0
    ","
      7,11 Juta
    ",-
MX TOKEN,MXT,"US$0,00010715",-,-,-,-,-,"
      0
    ","
      ∞
    ",-
HERUKA TSANGNYON,TSANGNYON,"US$0,00008553",-,-,-,-,-,"
      0
    ","
      1 Miliar
    ",-
AptosLaunch Token,ALT,"US$0,00911952",0.1%,-1.9%,-0.7%,-37.6%,US$45.322,"
      0
    ","
      -
    ",-
Another World,AWM,"US$0,02226998",0.0%,-11.3%,-0.3%,10.8%,US$26.399,"
      0
    ","
      2,5 Miliar
    ",-
Wrapped TOMO,WTOMO,"US$0,585041",0.1%,-0.3%,-3.5%,0.5%,US$3.122,"
      0
    ","
      -
    ",-
Zunami USD,UZD,"US$0,00077327",-,-,-,-,-,"
      0
    ","
      17,2 Juta
    ",-
Yearn CRV,YCRV,"US$0,503164",0.0%,-1.2%,20.2%,-13.6%,US$612.913,"
      0
    ","
      3,71 Juta
    ",-
Staked Yearn CRV Vault,ST-YCRV,"US$1,25",-,-,-,-,-,"
      0
    ","
      34,6 Juta
    ",-
Frutti Dino,FDT,"US$0,03413104",0.5%,0.4%,0.1%,-7.3%,US$606.439,"
      0
    ","
      997 Juta
    ",-
AntNetworX (OLD),ANTX,"US$0,00109075",-,-,-,-,-,"
      0
    ","
      117 Juta
    ",-
CloudTx,CLOUD,"US$0,00118415",0.1%,0.7%,0.6%,-26.7%,US$340,"
      0
    ","
      200 Juta
    ",-
Elan,ELAN,"US$2,37",1.1%,2.1%,2.8%,8.7%,US$158.747,"
      0
    ","
      35,5 Juta
    ",-
DPS Doubloon [OLD],DBL,"US$0,00002155",-,-,-,-,-,"
      0
    ","
      23,7 Juta
    ",-
Power Of Deep Ocean,PODO,"US$0,00005986",-,-,-,-,-,"
      0
    ","
      ∞
    ",-
Tongtong Coin,TTC,"US$0,090782",-0.1%,1.5%,-2.8%,10.7%,US$45.727,"
      0
    ","
      1 Miliar
    ",-
Infinity Games,ING,"US$0,00084507",0.0%,-0.4%,2.7%,1.4%,US$147.150,"
      0
    ","
      5 Miliar
    ",-
Avoteo,AVO,"US$0,00091458",-,-,-,-,-,"
      0
    ","
      600 Juta
    ",-
OpenXSwap,OPENX,"US$0,01651043",-0.3%,0.4%,-7.9%,-36.9%,US$124,"
      0
    ","
      16,6 Juta
    ",-
Joystick,JOY,"US$0,00333503",0.0%,0.3%,-16.6%,8.6%,US$278,"
      0
    ","
      5 Miliar
    ",-
SeatlabNFT,SEAT,"US$0,00274602",-,-,-,-,-,"
      0
    ","
      845 Juta
    ",-
Club Santos Laguna Fan Token,SAN,"US$0,619601",0.5%,-1.8%,-5.6%,-10.0%,US$34.652,"
      0
    ","
      10 Juta
    ",-
Atlas FC Fan Token,ATLAS,"US$0,635192",-0.1%,-2.6%,-5.0%,-7.7%,US$35.787,"
      0
    ","
      10 Juta
    ",-
LFGSwap Finance,LFG,"US$0,00030672",0.1%,-2.3%,-3.1%,-13.3%,US$260,"
      0
    ","
      1 Miliar
    ",-
marumaruNFT,MARU,"US$0,162522",-0.0%,3.9%,11.9%,174.6%,US$210.361,"
      0
    ","
      2 Miliar
    ",-
Fame Reward Plus,FRP,"US$0,201997",0.0%,0.0%,-0.1%,20.3%,US$18.996,"
      0
    ","
      1 Juta
    ",-
NETZERO,NZERO,"US$0,00290185",0.8%,7.3%,-0.0%,-51.8%,US$85.555,"
      0
    ","
      1 Miliar
    ",-
Ultramoc,UMC,"US$0,113927",-0.0%,67.1%,42.1%,-31.7%,"US$14,06","
      0
    ","
      20 Juta
    ",-
Maximus BASE,BASE,"US$0,00986339",0.1%,2.3%,3.7%,31.1%,US$1.192,"
      0
    ","
      100 Juta
    ",-
Maximus TRIO,TRIO,"US$0,00885003",0.1%,1.0%,-6.0%,15.6%,US$127,"
      0
    ","
      69,6 Juta
    ",-
Maximus LUCKY,LUCKY,"US$0,00764004",0.1%,1.9%,-4.0%,11.6%,US$2.933,"
      0
    ","
      75 Juta
    ",-
Beauty Bakery Linked Operation Transaction Technology,LOTT,"US$0,01399938",45.5%,11.9%,30.5%,-13.2%,US$1.168,"
      0
    ","
      5 Miliar
    ",-
MyPiggiesBank,PIGGIE,"US$0,00057745",-0.0%,-0.4%,63.1%,144.5%,"US$18,49","
      0
    ","
      800 Ribu
    ",-
